Cod.Cliente;Ragione sociale;Tipo pag.;Causale;Descrizione;Anno documento;Num.Documento;Num.Riferimento;Data registrazione;Data documento;Data scadenza;Valuta;Importo +/-(dare/avere);Condizioni pagamento;Causale movimento;Tipologia cliente;
01215;BENNET SPA                              ;B;FVE;Fattura emessa BENNET SPA;2014;036338;00036338;30/09/2014;30/09/2014;30/11/2014;Euro                          ;         8069,57;Bonifico B. 60 gg fm          ;Fattura emessa                ;GD                            ;
01977;AUTOLUCE SRL                            ;W;FVE;Fattura emessa AUTOLUCE SRL;2014;036339;00036339;30/09/2014;30/09/2014;30/11/2014;Euro                          ;         1660,62;RI.BA   60 gg fm              ;Fattura emessa                ;SPI                           ;
01977;AUTOLUCE SRL                            ;W;FVE;Fattura emessa AUTOLUCE SRL;2014;036340;00036340;30/09/2014;30/09/2014;30/11/2014;Euro                          ;          396,99;RI.BA   60 gg fm              ;Fattura emessa                ;SPI                           ;
01215;BENNET SPA                              ;B;FVE;Fattura emessa BENNET SPA;2014;036341;00036341;30/09/2014;30/09/2014;30/11/2014;Euro                          ;        20396,45;Bonifico B. 60 gg fm          ;Fattura emessa                ;GD                            ;
02691;MAGARELLI SRL                           ;W;FVE;Fattura emessa MAGARELLI SRL;2014;036342;00036342;30/09/2014;30/09/2014;30/11/2014;Euro                          ;          251,81;RI.BA   60 gg fm              ;Fattura emessa                ;DO                            ;
03344;TFK SRL                                 ;B;FVE;Fattura emessa TFK SRL;2014;036343;00036343;30/09/2014;30/09/2014;30/11/2014;Euro                          ;          243,02;Bonifico B. 60 gg fm          ;Fattura emessa                ;DO                            ;
02683;ARCOBALENO SRL                          ;W;FVE;Fattura emessa ARCOBALENO SRL;2014;036344;00036344;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          549,37;RI.BA   90 gg fm              ;Fattura emessa                ;DO                            ;
01175;BRICO S.I.V. SRL                        ;W;FVE;Fattura emessa BRICO S.I.V. SRL;2014;036345;00036345;30/09/2014;30/09/2014;30/11/2014;Euro                          ;         1114,96;RI.BA   60 gg fm              ;Fattura emessa                ;DO                            ;
02876;BRICOFER ITALIA SPA                     ;W;FVE;Fattura emessa BRICOFER ITALIA SPA;2014;036346;00036346;30/09/2014;30/09/2014;31/01/2015;Euro                          ;          658,80;RI.BA 120 gg fm               ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036347;00036347;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          291,63;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
00940;IPERAL SPA                              ;B;FVE;Fattura emessa IPERAL SPA;2014;036348;00036348;30/09/2014;30/09/2014;31/12/2014;Euro                          ;          428,22;Bonifico B. 90 gg fm          ;Fattura emessa                ;DO                            ;
