;** RIFORNIMENTI DA DEPOSITI AL: 13/09/2016 **
 
Codice;Descrizione;Q.ta rifornimento;in arrivo LBX (PZ);da MTN;(in pallet);in arrivo (PZ);da SLI;(in pallet);in arrivo (PZ);da GIC;(in pallet);in arrivo (PZ);da SHI;(in pallet);in arrivo (PZ);da    ;(in pallet);in arrivo (PZ);da TRI;(in pallet);in arrivo (PZ);Mancante
003397;URSUS MAX BATTERIA  100 DX    ;      1.383;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       904;        19;     4.664;          0
003402;MV+ BATTERIA 74               ;      1.776;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;     1.776;        28;         0;          0
003396;URSUS MAX BATTERIA  80 DX     ;      1.238;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;     1.040;        22;     2.800;          0
009947;CEPSA AVANT 10W40 SYNT LT.208 ;         69;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        69;        18;         0;          0
003399;MV+ BATTERIA 45               ;      1.281;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;     1.281;        14;     1.800;          0
010100;CEPSA AVANT 10W40 SYNT LT.1   ;      8.741;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;     8.741;        17;         0;          0
003395;URSUS MAX BATTERIA  70 DX     ;        732;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       732;        12;     1.352;          0
009937;CEPSA XTAR 5W40 505.01 LT.208 ;         38;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        38;        10;         0;          0
000194;CASTROL TOP 50! LT.1          ;      5.766;    21.120;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;     5.766;         9;         0;          0
013495;LUBEX ORIGINAL 74 L3          ;        726;       627;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       726;        13;       513;          0
009884;TAMOIL BATTERIA WR 100 AH DX  ;        452;     1.056;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       452;        10;         0;          0
003403;MV+ BATTERIA 100              ;        480;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       480;        10;       824;          0
009883;TAMOIL BATTERIA WR  74 AH DX  ;        551;     1.792;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       551;         9;         0;          0
003394;URSUS MAX BATTERIA  60 DX     ;        708;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       708;         9;     4.720;          0
009881;TAMOIL BATTERIA WR  50 AH DX  ;        681;     1.344;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       681;         8;         0;          0
009882;TAMOIL BATTERIA WR  62 AH DX  ;        530;     1.824;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       530;         7;         0;          0
009059;MV+ BATTERIA 60               ;        599;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       599;         5;         0;          0
003400;MV+ BATTERIA 50               ;        649;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       649;         7;         0;          0
013489;LUBEX ORIGINAL 52 L1          ;        665;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       665;        10;         4;          0
009929;CEPSA XTAR 5W30 504.507 LT.1  ;      3.042;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;     3.042;         6;         0;          0
009932;CEPSA XTAR 5W30 504.507 LT.208;         14;        12;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        14;         4;         0;          0
