;** RIFORNIMENTI DA DEPOSITI AL: 05/10/2017 **
 
Codice;Descrizione;Q.ta rifornimento;in arrivo LBX (PZ);da TRI;(in pallet);in arrivo (PZ);da PAR;(in pallet);in arrivo (PZ);Mancante
002356;BOSCH BATTERIA S3008 (70A DX) ;      1.188;         0;         0;         0;         0;     1.188;        25;       259;          0
002341;BOSCH BATTERIA S4005 (60A DX) ;      1.001;         0;         0;         0;         0;     1.001;        16;         0;          0
002340;BOSCH BATTERIA S4008 (74A DX) ;        760;         0;         0;         0;         0;       760;        16;         0;          0
014451;IP SMO EP 5W40 LT.4           ;      3.441;         0;     3.441;        20;    21.444;         0;        16;         0;          0
002343;BOSCH BATTERIA S4002 (52A DX) ;      1.492;         0;         0;        20;         0;     1.492;        21;       300;          0
013517;ECLIPSE BATTERIA 60 L2        ;      1.034;     1.323;        16;         1;         0;         0;        21;         0;          0
010115;TEXACO HDAX 6500 LT.1000      ;         10;         0;        10;        10;         0;         0;        21;         0;          0
008900;TEXACO RANDO HD  46 LT.1000   ;         10;         0;        10;        10;         0;         0;        21;         0;          0
002346;BOSCH BATTERIA S3003 (45A SX) ;        425;         0;         0;        10;         0;       425;         6;        50;          0
010113;TEXACO RANDO HD  46 LT. 208   ;         51;         0;        51;        13;         0;         0;         6;         0;          0
002350;BOSCH BATTERIA S3004 (53A DX) ;        340;         0;         0;        13;         0;       340;         6;         0;          0
013520;ECLIPSE BATTERIA 80 L4        ;        382;       468;         3;         1;         0;         0;         6;         0;          0
002344;BOSCH BATTERIA S3005 (56A DX) ;        296;        78;         0;         1;         0;       296;         5;         0;          0
010299;TEXACO URSA TD 15W40 LT. 208  ;         29;         0;        29;         8;         0;         0;         5;         0;          0
002265;TEXACO HAV ULTRA S 5W40 LT.208;         20;         0;        20;         5;         0;         0;         5;         0;          0
010111;TEXACO RANDO HD  32 LT. 208   ;         31;         0;        31;         8;         0;         0;         5;         0;          0
008875;TEXACO MOLYTEX EP2 KG.180     ;         17;        12;        10;         3;         0;         0;         5;         0;          0
008744;TEXACO HAV EXTRA 10W40 LT.208 ;         21;         0;        21;         6;         0;         0;         5;         0;          0
014602;ECLIPSE BATTERIA 100 L5       ;        206;       180;       104;         3;         0;         0;         5;         0;          0
002624;BOSCH BATTERIA S4018 (40A DX) ;        218;        12;         0;         3;         0;       218;         4;       128;          0
008756;TEXACO MEROPA  320 LT. 20     ;        192;         0;       192;         6;         0;         0;         4;         0;          0
009133;BOSCH BATTERIA S4000 (44A DX) ;        235;         0;         0;         6;         0;       235;         4;       500;          0
014464;POLLICE 15W40 LT.4-78310532   ;        982;         0;       982;         6;         0;         0;         4;         0;          0
008860;TEXACO HYDRAUL HDZ  46 LT. 208;         17;         0;        17;         5;         0;         0;         4;         0;          0
002352;BOSCH BATTERIA S3006 (56A SX) ;        146;         0;         0;         5;         0;       146;         3;         6;          0
014651;TEXACO HAV PRODS V 5W30 LT.208;          9;         0;         9;         3;         0;         0;         3;         0;          0
014623;SHELL BATTERIA ROSSA 45 L1    ;        246;         0;       246;         5;         0;         0;         3;         0;          0
008795;TEXACO MOTOR OIL 10W40 LT.208 ;         15;         0;        15;         4;         0;         0;         3;         0;          0
009725;TEXACO MOTOR OIL 10W40 LT.1   ;      2.154;         0;     2.154;         4;         0;         0;         3;         0;          0
014463;POLLICE 15W40 LT.1-780310531  ;      2.766;         0;     2.766;         4;         0;         0;         3;         0;          0
010051;TEXACO URSA HEV DU 15W40 LT208;         13;         0;        13;         4;         0;         0;         3;         0;          0
009929;CEPSA XTAR 5W30 504.507 LT.1  ;      1.188;     4.320;     1.188;         3;         0;         0;         3;         0;          0
010155;TEXACO RANDO HD  68 LT. 208   ;         15;         0;        15;         4;         0;         0;         3;         0;          0
009935;CEPSA XTAR 5W40 505.01 LT.1   ;      1.427;     1.080;     1.427;         3;         0;         0;         3;         0;          0
014614;ECLIPSE BATTERIA 125 M 110    ;         85;        48;        46;         2;         0;         0;         3;         0;          0
009941;CEPSA XTAR 10W40 SYNT LT.20   ;         85;         0;        59;         3;         0;         0;         3;         0;         26
014457;POLLICE 10W40 LT.4-780310556  ;        504;         0;       504;         3;         0;         0;         3;         0;          0
014135;TEXACO TEXTRAN 1000 THF LT.208;          9;         0;         9;         3;         0;         0;         3;         0;          0
009478;TEXACO MOTOR OIL S 5W40 LT.208;          8;         0;         8;         2;         0;         0;         3;         0;          0
010100;CEPSA AVANT 10W40 SYNT LT.1   ;      1.520;         0;     1.520;         3;         0;         0;         3;         0;          0
002351;BOSCH BATTERIA S3001 (41A DX) ;        122;         7;         0;         3;         0;       122;         2;         0;          0
008715;TEXACO CAPELLA PREMI 68 LT.208;          6;         0;         3;         1;         0;         0;         2;         0;          3
014455;IP SMO 15W40 LT.4             ;        406;         0;       406;         3;    22.160;         0;         2;         0;          0
008767;TEXACO HAV ULTRA S 5W30 LT.208;          6;         0;         6;         2;         0;         0;         2;         0;          0
014456;POLLICE 10W40 LT.1-780320140  ;      1.482;         0;     1.482;         2;         0;         0;         2;         0;          0
014449;IP SMO 5W30 LT.4              ;        261;         0;       261;         2;         0;         0;         2;         0;          0
013994;TEXACO MOTOR OIL S 5W30 LT.208;          6;        12;         6;         2;         0;         0;         2;         0;          0
010297;TEXACO URSA TD 10W40 LT.208   ;          7;         0;         7;         2;         0;         0;         2;         0;          0
014461;POLLICE 5W40 LT.4-780310591   ;        241;         0;       241;         2;         0;         0;         2;         0;          0
008743;TEXACO HAV EXTRA 10W40 LT. 1  ;      1.069;         0;     1.069;         2;         0;         0;         2;         0;          0
009029;TEXACO COMPR EP VDL  46 LT.208;          6;         0;         6;         2;         0;         0;         2;         0;          0
014388;SHELL BATTERIA ROSSA 100 L5   ;         47;         0;        47;         2;         0;         0;         2;         0;          0
011541;TEXACO HDAX 9200 LA GAS LT1000;          1;         0;         1;         1;         0;         0;         2;         0;          0
013052;TEXACO HAV XLC CONCENT LT. 208;          7;        32;         7;         2;         0;         0;         2;         0;          0
002349;BOSCH BATTERIA S4021 (45A DX) ;         57;         0;         0;         2;         0;        57;         2;         0;          0
014460;POLLICE 5W40 LT.1-780320151   ;        821;         0;       756;         1;         0;         0;         2;         0;         65
014462;POLLICE 2T LT.1-78031053      ;        830;         0;       830;         2;         0;         0;         2;         0;          0
010116;TEXACO URSA TDX 10W40 LT. 208 ;          5;         0;         5;         2;         0;         0;         2;         0;          0
008750;TEXACO HYDRAUL HDZ  32 LT. 20 ;         55;         0;        55;         2;         0;         0;         2;         0;          0
008961;TEXACO HDAX 6500 LT.208       ;          5;         0;         4;         1;         0;         0;         2;         0;          1
008964;TEXACO HDAX 7200 LT.1000      ;          1;         0;         1;         1;         0;         0;         2;         0;          0
014497;TEXACO URSA ULT X 5W30 LT.208 ;          4;         0;         1;         1;         0;         0;         2;         0;          3
010094;CEPSA GENUINE 5W30 SYN LT.1   ;        677;         0;       677;         2;         0;         0;         2;         0;          0
016036;SPARCO BATTERIA KK52          ;         93;         0;        80;         1;         0;         0;         2;         0;         13
011542;TEXACO HDAX 9200 LA GAS LT.208;          4;         0;         4;         1;         0;         0;         2;         0;          0
009930;CEPSA XTAR 5W30 504.507 LT.4  ;        135;         0;       135;         1;         0;         0;         2;         0;          0
010114;TEXACO RANDO HD  46 LT. 20    ;         55;         0;        38;         2;         0;         0;         2;         0;         17
015104;ULTRAX BATTERIA 80 L4         ;         54;     1.824;        54;         2;         0;         0;         2;         0;          0
016038;SPARCO BATTERIA KK62          ;         65;         0;        61;         1;         0;         0;         2;         0;          4
014452;IP SMO PLUS 10W40 L.1         ;        674;         0;       674;         1;         0;         0;         2;         0;          0
010301;TEXACO URSA X 10W40 LT.208    ;          4;         0;         4;         1;         0;         0;         2;         0;          0
009913;CEPSA XTAR 5W40 505.01 LT.4   ;        148;         0;       148;         2;         0;         0;         2;         0;          0
014458;POLLICE 5W30 LT.1-780320152   ;        561;         0;       561;         1;         0;         0;         2;         0;          0
014459;POLLICE 5W30 LT.4-780310592   ;        135;         0;       135;         1;         0;         0;         2;         0;          0
015100;ULTRAX BATTERIA 50 L1         ;         78;     2.808;        78;         2;         0;         0;         2;         0;          0
014655;TEXACO HAV PRODS M 5W30 LT.208;          3;         0;         3;         1;         0;         0;         2;         0;          0
015103;ULTRAX BATTERIA 74 L3         ;         54;     2.394;        54;         1;         0;         0;         2;         0;          0
010293;TEXACO MULTIFAK EP 2 KG. 18   ;         32;         8;        32;         1;         0;         0;         2;         0;          0
009727;TEXACO MOTOR OIL S 5W40 LT.1  ;        559;         0;       559;         1;         0;         0;         2;         0;          0
