SIN            2020005821     00001S750           026754-C12                                             0000000880          00000000012000PZ                                                00001654                 2020                                              20200122                 00000880
SIN            2020005823     00001S750           026733-C12                                             0000000850          00000000012000PZ                                                00001665                 2020                     5982695                  20200122                 00000850
SIN            2020005902     00001S750           026756-C12                                             0000000886          00000000048000PZ                                                00001961                 2020                     -57349                   20200124                 00000886
SIN            2020005902     00002S750           022378-VIS                                             0000000001          00000000001000PZ                                                00001961                 2020                     -57349                   20200124                 00000001
SIN            2020005929     00001S750           026754-C12                                             0000000880          00000000060000PZ                                                00001651                 2020                                              20200122                 00000880
SIN            2020005929     00002S750           026755-C04                                             0000003512          00000000008000PZ                                                00001652                 2020                     5434644                  20200122                 00003512
SIN            2020013901     00001S750           016708-VIS                                             0000013932          00000000005000PZ                                                00004560                 2020                     -58224                   20200221                 00013932
SIN            2020013901     00002S750           016707-VIS                                             0000012960          00000000005000PZ                                                00004560                 2020                     -58224                   20200221                 00012960
SIN            2020013901     00003S750           016706-VIS                                             0000011664          00000000005000PZ                                                00004560                 2020                     -58224                   20200221                 00011664
SIN            2020013901     00004S750           011664-C12                                             0000000885          00000000060000PZ                                                00004560                 2020                     -58224                   20200221                 00000885
SIN            2020013902     00001S750           016708-VIS                                             0000013932          00000000003000PZ                                                00004559                 2020                     -58223                   20200221                 00013932
SIN            2020013902     00002S750           016845-VIS                                             0000029250          00000000002000PZ                                                00004559                 2020                     -58223                   20200221                 00029250
SIN            2020013902     00003S750           016707-VIS                                             0000012960          00000000005000PZ                                                00004559                 2020                     -58223                   20200221                 00012960
SIN            2020013902     00004S750           015242-VIS                                             0000016275          00000000002000PZ                                                00004559                 2020                     -58223                   20200221                 00016275
SIN            2020013902     00005S750           016706-VIS                                             0000011664          00000000005000PZ                                                00004559                 2020                     -58223                   20200221                 00011664
SIN            2020013902     00006S750           022550-VIS                                             0000012310          00000000002000PZ                                                00004559                 2020                     -58223                   20200221                 00012310
SIN            2020013902     00007S750           022551-VIS                                             0000015200          00000000002000PZ                                                00004559                 2020                     -58223                   20200221                 00015200
SIN            2020013903     00001S750           013480-VIS                                             0000022575          00000000002000PZ                                                00004799                 2020                     -58299                   20200225                 00022575
SIN            2020013903     00002S750           016708-VIS                                             0000013932          00000000001000PZ                                                00004799                 2020                     -58299                   20200225                 00013932
SIN            2020013903     00003S750           016707-VIS                                             0000012960          00000000001000PZ                                                00004799                 2020                     -58299                   20200225                 00012960
SIN            2020013903     00004S750           015242-VIS                                             0000016275          00000000005000PZ                                                00004799                 2020                     -58299                   20200225                 00016275
SIN            2020013903     00005S750           016706-VIS                                             0000011664          00000000001000PZ                                                00004799                 2020                     -58299                   20200225                 00011664
SIN            2020013903     00006S750           022551-VIS                                             0000015200          00000000002000PZ                                                00004799                 2020                     -58299                   20200225                 00015200
SIN            2020013903     00007S750           022550-VIS                                             0000012310          00000000003000PZ                                                00004799                 2020                     -58299                   20200225                 00012310
SIN            2020013903     00008S750           013157-VIS                                             0000008325          00000000005000PZ                                                00004799                 2020                     -58299                   20200225                 00008325
SIN            2020013903     00009S750           026852-VIS                                             0000013100          00000000010000PZ                                                00004799                 2020                     -58299                   20200225                 00013100
SIN            2020013903     00010S750           026848-VIS                                             0000010350          00000000010000PZ                                                00004799                 2020                     -58299                   20200225                 00010350
SIN            2020013903     00011S750           012792-VIS                                             0000008250          00000000005000PZ                                                00004799                 2020                     -58299                   20200225                 00008250
