               2022000858     00001S750           009577-C12                                             0000000873          00000000012000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000008738008959954025
               2022000858     00002S750           009553-C12                                             0000000851          00000000012000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000008518008959966028
               2022000858     00003S750           009575-C12                                             0000000872          00000000012000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000008728008959959020
               2022000858     00004S750           009567-C12                                             0000000878          00000000012000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000008788008959957026
               2022000858     00005S750           004716-C10                                             0000000150          00000000010000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000001504047024649743
               2022000858     00006S750           001190-C10                                             0000000030          00000000010000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000000303165141228793
               2022000858     00007S750           001180-C10                                             0000000030          00000000010000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000000303165141228670
               2022000858     00008S750           001199-C10                                             0000000030          00000000010000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000000303165141228892
               2022000858     00009S750           001197-C10                                             0000000030          00000000010000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000000303165141228861
               2022000858     00010S750           001200-C10                                             0000000030          00000000010000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000000303165141228908
               2022000858     00011S750           001201-C10                                             0000000030          00000000010000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000000303165141228915
               2022000858     00012S750           001192-C10                                             0000000030          00000000010000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000000303165141228816
               2022000858     00013S750           003393-VIS                                             0000010270          00000000001000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000102708013826012258
               2022000858     00014S750           016775-C12                                             0000000600          00000000012000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000006008002565014913
               2022000858     00015S750           016776-C12                                             0000000600          00000000012000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000006008002565014920
               2022000858     00016S750           016777-C12                                             0000000400          00000000012000PZ                                                00038435                 2021                     AG-217-2021-131          20211229                 000004008002565014937
SIN            2022014572     00001S750           031735-C12                                             0000000840          00000000024000PZ                                                00005954                 2022                     -84805                   20220224                 00000840
SIN            2022014572     00002S750           011773-C12                                             0000000860          00000000024000PZ                                                00005954                 2022                     -84805                   20220224                 00000860
SIN            2022014572     00003S750           026805-C12                                             0000001000          00000000024000PZ                                                00005954                 2022                     -84805                   20220224                 00001000
SIN            2022014572     00004S750           026868-C04                                             0000005000          00000000020000PZ                                                00005954                 2022                     -84805                   20220224                 00005000
SIN            2022014572     00005S750           026854-C04                                             0000005000          00000000016000PZ                                                00005954                 2022                     -84805                   20220224                 00005000
SIN            2022014572     00006S750           026809-C12                                             0000001000          00000000024000PZ                                                00005954                 2022                     -84805                   20220224                 00001000
SIN            2022014572     00007S750           026765-C04                                             0000005000          00000000032000PZ                                                00005954                 2022                     -84805                   20220224                 00005000
SIN            2022014677     00001S750           026968-VIS                                             0000001300          00000000003000PZ                                                00004907                 2022                     30358                    20220216                 00001300
SIN            2022014677     00002S750           026969-VIS                                             0000001300          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00001300
SIN            2022014677     00003S750           026970-VIS                                             0000001300          00000000004000PZ                                                00004907                 2022                     30358                    20220216                 00001300
SIN            2022014677     00004S750           026971-VIS                                             0000001300          00000000003000PZ                                                00004907                 2022                     30358                    20220216                 00001300
SIN            2022014677     00005S750           026972-VIS                                             0000001300          00000000004000PZ                                                00004907                 2022                     30358                    20220216                 00001300
SIN            2022014677     00006S750           026973-VIS                                             0000001300          00000000004000PZ                                                00004907                 2022                     30358                    20220216                 00001300
SIN            2022014677     00007S750           026974-VIS                                             0000001300          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00001300
SIN            2022014677     00008S750           026975-VIS                                             0000001300          00000000001000PZ                                                00004907                 2022                     30358                    20220216                 00001300
SIN            2022014677     00009S750           026982-VIS                                             0000001300          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00001300
SIN            2022014677     00010S750           026983-VIS                                             0000000200          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00000200
SIN            2022014677     00011S750           026984-VIS                                             0000001300          00000000004000PZ                                                00004907                 2022                     30358                    20220216                 00001300
SIN            2022014677     00012S750           026986-VIS                                             0000000200          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00000200
SIN            2022014677     00013S750           026987-VIS                                             0000000200          00000000003000PZ                                                00004907                 2022                     30358                    20220216                 00000200
SIN            2022014677     00014S750           026989-VIS                                             0000001300          00000000001000PZ                                                00004907                 2022                     30358                    20220216                 00001300
SIN            2022014677     00015S750           029439-VIS                                             0000000850          00000000003000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00016S750           029443-VIS                                             0000000850          00000000004000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00017S750           029455-VIS                                             0000000850          00000000003000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00018S750           029459-VIS                                             0000000850          00000000004000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00019S750           029438-VIS                                             0000000850          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00020S750           029440-VIS                                             0000000850          00000000001000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00021S750           029442-VIS                                             0000000850          00000000001000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00022S750           029444-VIS                                             0000000850          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00023S750           029454-VIS                                             0000000850          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00024S750           029456-VIS                                             0000000850          00000000001000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00025S750           029458-VIS                                             0000000850          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00026S750           029457-VIS                                             0000000850          00000000001000PZ                                                00004907                 2022                     30358                    20220216                 00000850
SIN            2022014677     00027S750           029460-VIS                                             0000000850          00000000002000PZ                                                00004907                 2022                     30358                    20220216                 00000850
