LUNBOL;LUDBOL;LUAORD;LUNORD;LURFOR;LUDORD;LUFLAG
"LU/408521           ";51219   ;19  ;234357   ;"2019084181          ";101019  ;" "
"LU/408522           ";51219   ;19  ;234402   ;"2019084229          ";21219   ;" "
"LU/408523           ";51219   ;19  ;235570   ;"2019084915          ";241019  ;" "
"LU/408524           ";51219   ;19  ;235573   ;"2019084918          ";51119   ;" "
"LU/408525           ";51219   ;19  ;235574   ;"2019084919          ";71119   ;" "
"LU/408526           ";51219   ;19  ;235575   ;"2019084920          ";271119  ;" "
"LU/408527           ";51219   ;19  ;235576   ;"2019084921          ";251119  ;" "
"LU/408528           ";51219   ;19  ;235583   ;"2019084928          ";131119  ;" "
"LU/408529           ";51219   ;19  ;235586   ;"2019084931          ";291119  ;" "
"LU/408530           ";51219   ;19  ;235595   ;"2019084942          ";81119   ;" "
"LU/408531           ";51219   ;19  ;235607   ;"2019084955          ";221119  ;" "
"LU/408570           ";51219   ;19  ;235609   ;"2019084957          ";21219   ;" "
"LU/408571           ";51219   ;19  ;235616   ;"2019084964          ";271119  ;" "
"LU/408532           ";51219   ;19  ;235618   ;"2019084966          ";211119  ;" "
"LU/408533           ";51219   ;19  ;235620   ;"2019084970          ";251119  ;" "
"LU/408572           ";51219   ;19  ;235638   ;"2019084988          ";21219   ;" "
"LU/408534           ";51219   ;19  ;236812   ;"2019085061          ";131119  ;" "
"LU/408535           ";51219   ;19  ;236813   ;"2019085062          ";61119   ;" "
"LU/408573           ";51219   ;19  ;236814   ;"2019085069          ";261119  ;" "
"LU/408536           ";51219   ;19  ;236815   ;"2019085092          ";41219   ;" "
"LU/408537           ";51219   ;19  ;236816   ;"2019085100          ";41219   ;" "
"LU/408538           ";51219   ;19  ;236817   ;"2019085101          ";41219   ;" "
"LU/408569           ";51219   ;19  ;236818   ;"2019085102          ";41219   ;" "
"LU/408574           ";51219   ;19  ;236819   ;"2019085103          ";41219   ;" "
"LU/408539           ";51219   ;19  ;236820   ;"2019085104          ";41219   ;" "
"LU/408540           ";51219   ;19  ;236821   ;"2019085105          ";41219   ;" "
"LU/408541           ";51219   ;19  ;236822   ;"2019085106          ";31219   ;" "
"LU/408542           ";51219   ;19  ;236824   ;"2019085110          ";11219   ;" "
"LU/408543           ";51219   ;19  ;236825   ;"2019085111          ";31219   ;" "
"LU/408544           ";51219   ;19  ;236826   ;"2019085112          ";291119  ;" "
"LU/408575           ";51219   ;19  ;236827   ;"2019085113          ";41219   ;" "
"LU/408545           ";51219   ;19  ;236828   ;"2019085114          ";21219   ;" "
"LU/408546           ";51219   ;19  ;236829   ;"2019085115          ";31219   ;" "
"LU/408547           ";51219   ;19  ;236830   ;"2019085116          ";291119  ;" "
"LU/408548           ";51219   ;19  ;236831   ;"2019085118          ";11219   ;" "
"LU/408576           ";51219   ;19  ;236832   ;"2019085120          ";181119  ;" "
"LU/408577           ";51219   ;19  ;236833   ;"2019085121          ";251119  ;" "
"LU/408549           ";51219   ;19  ;236834   ;"2019085122          ";271119  ;" "
"LU/408550           ";51219   ;19  ;236835   ;"2019085124          ";11219   ;" "
"LU/408551           ";51219   ;19  ;236836   ;"2019085125          ";260919  ;" "
"LU/408552           ";51219   ;19  ;236837   ;"2019085126          ";31219   ;" "
"LU/408553           ";51219   ;19  ;236838   ;"2019085127          ";281119  ;" "
"LU/408554           ";51219   ;19  ;236839   ;"2019085128          ";41219   ;" "
"LU/408555           ";51219   ;19  ;236841   ;"2019085132          ";311019  ;" "
"LU/408578           ";51219   ;19  ;236842   ;"2019085133          ";31219   ;" "
"LU/408556           ";51219   ;19  ;236843   ;"2019085134          ";21219   ;" "
"LU/408557           ";51219   ;19  ;236844   ;"2019085136          ";281119  ;" "
"LU/408558           ";51219   ;19  ;236845   ;"2019085138          ";291119  ;" "
"LU/408559           ";51219   ;19  ;236846   ;"2019085139          ";41219   ;" "
"LU/408579           ";51219   ;19  ;236847   ;"2019085140          ";151119  ;" "
"LU/408560           ";51219   ;19  ;236848   ;"2019085142          ";31219   ;" "
"LU/408580           ";51219   ;19  ;236849   ;"2019085144          ";31219   ;" "
"LU/408581           ";51219   ;19  ;236850   ;"2019085145          ";11219   ;" "
"LU/408582           ";51219   ;19  ;236851   ;"2019085146          ";41219   ;" "
"LU/408561           ";51219   ;19  ;236852   ;"2019085147          ";41219   ;" "
"LU/408562           ";51219   ;19  ;236853   ;"2019085148          ";11219   ;" "
"LU/408583           ";51219   ;19  ;236854   ;"2019085153          ";21219   ;" "
"LU/408563           ";51219   ;19  ;236855   ;"2019085154          ";301119  ;" "
"LU/408564           ";51219   ;19  ;236856   ;"2019085156          ";31219   ;" "
"LU/408584           ";51219   ;19  ;236857   ;"2019085157          ";31219   ;" "
"LU/408585           ";51219   ;19  ;236858   ;"2019085158          ";31219   ;" "
"LU/408586           ";51219   ;19  ;236859   ;"2019085160          ";31219   ;" "
"LU/408587           ";51219   ;19  ;236860   ;"2019085161          ";11219   ;" "
"LU/408565           ";51219   ;19  ;236861   ;"2019085162          ";41219   ;" "
"LU/408588           ";51219   ;19  ;236862   ;"2019085163          ";41219   ;" "
"LU/408589           ";51219   ;19  ;236863   ;"2019085164          ";21219   ;" "
"LU/408590           ";51219   ;19  ;236864   ;"2019085165          ";271119  ;" "
"LU/408591           ";51219   ;19  ;236865   ;"2019085166          ";41219   ;" "
"LU/408566           ";51219   ;19  ;236866   ;"2019085167          ";41219   ;" "
"LU/408567           ";51219   ;19  ;236867   ;"2019085168          ";31219   ;" "
"LU/408568           ";51219   ;19  ;237645   ;"LU0030              ";51219   ;" "
