LUNBOL;LUDBOL;LUAORD;LUNORD;LURFOR;LUDORD;LUFLAG
"LU/408257           ";291119  ;19  ;231517   ;"2019083420          ";261119  ;" "
"LU/408258           ";291119  ;19  ;232522   ;"2019074804          ";121019  ;" "
"LU/408259           ";291119  ;19  ;232524   ;"2019082854          ";221119  ;" "
"LU/408302           ";291119  ;19  ;232526   ;"2019083509          ";141019  ;" "
"LU/408260           ";291119  ;19  ;232527   ;"2019083512          ";251119  ;" "
"LU/408303           ";291119  ;19  ;232528   ;"2019083513          ";271119  ;" "
"LU/408304           ";291119  ;19  ;232529   ;"2019083514          ";141119  ;" "
"LU/408305           ";291119  ;19  ;232530   ;"2019083515          ";81119   ;" "
"LU/408261           ";291119  ;19  ;232531   ;"2019083519          ";251119  ;" "
"LU/408262           ";291119  ;19  ;232533   ;"2019083521          ";271119  ;" "
"LU/408306           ";291119  ;19  ;232534   ;"2019083523          ";221019  ;" "
"LU/408307           ";291119  ;19  ;232535   ;"2019083524          ";221119  ;" "
"LU/408308           ";291119  ;19  ;232536   ;"2019083526          ";131119  ;" "
"LU/408309           ";291119  ;19  ;232537   ;"2019083528          ";141119  ;" "
"LU/408310           ";291119  ;19  ;232538   ;"2019083529          ";151019  ;" "
"LU/408301           ";291119  ;19  ;232539   ;"2019083531          ";151119  ;" "
"LU/408263           ";291119  ;19  ;232540   ;"2019083533          ";281119  ;" "
"LU/408311           ";291119  ;19  ;232542   ;"2019083536          ";281119  ;" "
"LU/408264           ";291119  ;19  ;232543   ;"2019083538          ";281119  ;" "
"LU/408265           ";291119  ;19  ;232544   ;"2019083539          ";271119  ;" "
"LU/408312           ";291119  ;19  ;232545   ;"2019083541          ";281119  ;" "
"LU/408313           ";291119  ;19  ;232546   ;"2019083543          ";281119  ;" "
"LU/408266           ";291119  ;19  ;232547   ;"2019083544          ";131119  ;" "
"LU/408314           ";291119  ;19  ;232548   ;"2019083545          ";281119  ;" "
"LU/408315           ";291119  ;19  ;232549   ;"2019083548          ";191119  ;" "
"LU/408316           ";291119  ;19  ;232550   ;"2019083549          ";271119  ;" "
"LU/408267           ";291119  ;19  ;232551   ;"2019083551          ";271119  ;" "
"LU/408268           ";291119  ;19  ;232552   ;"2019083553          ";251119  ;" "
"LU/408317           ";291119  ;19  ;232553   ;"2019083556          ";271119  ;" "
"LU/408318           ";291119  ;19  ;232554   ;"2019083557          ";121019  ;" "
