** SITUAZIONE PRIMA **
PROGRESSIVO: 026798            00000000  IMPEGNATO: 00000756  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000300
PROGRESSIVO: 026798  LBX  C12  00000840  IMPEGNATO: 00000300  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000300
PROGRESSIVO: 026798  LBX  C12  00000845  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  LBX  C12  00000870  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  LBX  C12  00000890  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  ROS  C12  00000840  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  SIN  C12  00000840  IMPEGNATO: 00000456  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  SIN  C12  00000845  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  SIN  C12  00000850  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  SIN  C12  00000865  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  SIN  C12  00000870  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  SIN  C12  00000890  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
 
PROGRESSIVO: 022378            00000000  IMPEGNATO: 00000100  I.MASTER: 00000000  I.GDO: 00000002  I.TRAD: 00000039
PROGRESSIVO: 022378  EXD  VIS  00000001  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 022378  LBX  VIS  00000001  IMPEGNATO: 00000062  I.MASTER: 00000000  I.GDO: 00000002  I.TRAD: 00000039
PROGRESSIVO: 022378  SIN  VIS  00000001  IMPEGNATO: 00000038  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 022378  SLI  VIS  00000001  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
 
** SITUAZIONE DOPO **
PROGRESSIVO: 026798            00000000  IMPEGNATO: 00000756  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000540
PROGRESSIVO: 026798  LBX  C12  00000840  IMPEGNATO: 00000540  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000540
PROGRESSIVO: 026798  LBX  C12  00000845  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  LBX  C12  00000870  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  LBX  C12  00000890  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  ROS  C12  00000840  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  SIN  C12  00000840  IMPEGNATO: 00000216  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  SIN  C12  00000845  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  SIN  C12  00000850  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  SIN  C12  00000865  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  SIN  C12  00000870  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 026798  SIN  C12  00000890  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
 
PROGRESSIVO: 022378            00000000  IMPEGNATO: 00000100  I.MASTER: 00000000  I.GDO: 00000002  I.TRAD: 00000040
PROGRESSIVO: 022378  EXD  VIS  00000001  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 022378  LBX  VIS  00000001  IMPEGNATO: 00000063  I.MASTER: 00000000  I.GDO: 00000002  I.TRAD: 00000040
PROGRESSIVO: 022378  SIN  VIS  00000001  IMPEGNATO: 00000037  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
PROGRESSIVO: 022378  SLI  VIS  00000001  IMPEGNATO: 00000000  I.MASTER: 00000000  I.GDO: 00000000  I.TRAD: 00000000
 
