 
RIEPILOGO BATCH NOTTURNI DEL 19/02/2021 - INZIATO ALLE 23:07.09
 
NOME PROCESSO            INIZIO                   FINE                     ESITO
conlubgio                19/02/2021 - 23:07.09    19/02/2021 - 23:07.09    OK
agg-stato-master         19/02/2021 - 23:07.09    19/02/2021 - 23:11.10    OK
sost-art-batch           19/02/2021 - 23:11.10    19/02/2021 - 23:11.23    OK
agg-stato-master         19/02/2021 - 23:11.23    19/02/2021 - 23:14.16    OK
ricaldin-bat             19/02/2021 - 23:14.16    19/02/2021 - 23:28.42    OK**
imp-fido-p               19/02/2021 - 23:28.42    19/02/2021 - 23:28.42    ERR
calmar-p                 19/02/2021 - 23:28.42    19/02/2021 - 23:30.02    OK**
art-scorta               19/02/2021 - 23:30.02    19/02/2021 - 23:30.04    OK
qta-vend                 19/02/2021 - 23:30.04    19/02/2021 - 23:32.13    OK
del-split                19/02/2021 - 23:32.13    19/02/2021 - 23:32.13    OK
azzera-fe                19/02/2021 - 23:32.13    19/02/2021 - 23:32.14    OK
check-qp                 19/02/2021 - 23:32.14    19/02/2021 - 23:32.14    OK**
call-pordini             19/02/2021 - 23:32.14    19/02/2021 - 23:34.55    OK
prgblocordf              19/02/2021 - 23:34.55    19/02/2021 - 23:34.55    OK
mail-tagli               19/02/2021 - 23:34.55    19/02/2021 - 23:34.55    OK
EDI-impord-p             19/02/2021 - 23:34.55    19/02/2021 - 23:34.55    OK
EDI-bolle-p              19/02/2021 - 23:34.55    19/02/2021 - 23:34.56    OK
EDI-fatt-p               19/02/2021 - 23:34.56    19/02/2021 - 23:34.56    OK
