Codice;Ragione Sociale;Indirizzo;CAP;Località;Provincia;Nazione;Codice Fiscale;Partiva IVA;Pagamento;Fido;Tipologia cliente;
01215;BENNET SPA                              ;VIA ENZO RATTI 2                        ;22070;MONTANO LUCINO                     ;CO;ITA;07071700152     ;07071700152;Bonifico B. 60 gg fm          ;      9725350,00;GD                            ;
01977;AUTOLUCE SRL                            ;VIA APELLE 43                           ;20128;MILANO                             ;MI;ITA;00712990159     ;00712990159;RI.BA   60 gg fm              ;       311965,00;SPI                           ;
02691;MAGARELLI SRL                           ;VIA PONTE NUOVO 75/11                   ;20128;MILANO                             ;MI;ITA;13278570158     ;13278570158;RI.BA   60 gg fm              ;         2000,00;DO                            ;
03344;TFK SRL                                 ;VIA VINCENZO MONTI 4                    ;20123;MILANO                             ;MI;ITA;07080190965     ;07080190965;Bonifico B. 60 gg fm          ;         2000,00;DO                            ;
02683;ARCOBALENO SRL                          ;VIA BIANCARDI 4                         ;26900;LODI                               ;LO;ITA;04599780154     ;04599780154;RI.BA   60 gg fm              ;         5000,00;DO                            ;
01175;BRICO S.I.V. SRL                        ;VIA NAZIONALE 49                        ;62010;POLLENZA                           ;MC;ITA;01377000433     ;01377000433;RI.BA   60 gg fm              ;         2000,00;DO                            ;
02876;BRICOFER ITALIA SPA                     ;VIA VINCENZO TINEO 97                   ;00172;ROMA                               ;RM;ITA;07628951001     ;07628951001;RI.BA 120 gg fm               ;       565909,00;DO                            ;
00940;IPERAL SPA                              ;VIA LA ROSA 354                         ;23010;PIANTEDO                           ;SO;ITA;00584090146     ;03248050969;Bonifico B. 90 gg fm          ;      8771438,00;DO                            ;
05005;LDD SPA A SOCIO UNICO - NUOVO COD. 3297 ;VIA PROVINCIALE 80                      ;24044;DALMINE                            ;BG;ITA;03930380161     ;03930380161;Bonifico B. 90 gg fm          ;       210000,00;DO                            ;
05279;ALGA SRL                                ;STRADA STATALE 17 EST KM 42+450         ;67010;BAZZANO                            ;AQ;ITA;01911000667     ;01911000667;RI.BA 120 gg fm               ;            0,00;DO                            ;
05351;CUTINI SRL                              ;VIA TUSCOLANA 859                       ;00174;ROMA                               ;RM;ITA;05553151001     ;05553151001;RI.BA 120 gg fm               ;            0,00;DO                            ;
04957;PALMERINI AUTORICAMBI SRL               ;VIA DELL'INDUSTRIA 2                    ;06135;PONTE SAN GIOVANNI                 ;PG;ITA;01424190542     ;01424190542;RI.BA   90 gg fm              ;        50000,00;Texaco                        ;
02985;A.F. PETROLI SPA                        ;VIA CASTELLETTO 13                      ;35038;TORREGLIA                          ;PD;ITA;03645040282     ;03645040282;RI.BA   30 gg fm              ;       482500,00;SPI                           ;
04184;A.M.E.S. SRL                            ;VIA BRUNELLESCHI 23                     ;92016;RIBERA                             ;AG;ITA;02174720843     ;02174720843;RI.BA   60 gg fm              ;        15000,00;DO                            ;
05357;AGRI POWER PLUS SOCIETA' AGRICOLA SRL   ;VIALE LE CORBUSIER 393/C                ;04100;LATINA                             ;LT;ITA;02426210593     ;02426210593;RI.BA   30 gg fm              ;            0,00;Texaco                        ;
04965;AL PENTOLONE SRL                        ;VIA ROMA 264/266                        ;35020;ALBIGNASEGO                        ;PD;ITA;00757000286     ;00757000286;RI.BA   60 gg fm              ;            0,00;DO                            ;
